customer_id,service_date,vehicle_type,service_type,service_cost,service_duration,customer_rating,location,payment_method,visit_frequency,total_spent,avg_spent_per_visit,avg_rating,days_since_last_visit,service_year,service_month,day_of_week,is_weekend,vehicle_type_encoded,service_type_encoded,day_of_week_encoded,location_encoded,payment_method_encoded,cost_category,loyalty_tier,recency_category
C0440,2024-02-25,Luxury,Interior Detailing,1.0,0.48571428571428577,6.0,Suburban,Credit Card,0.07692307692307693,0.2255712202236266,0.8263579697239536,4.0,0.4246913580246914,2024,2,Sunday,True,2,10,3,4,1,Premium,New,Warming
C0603,2022-02-18,Truck,Deluxe Wash,0.4971682361081862,0.3238095238095239,3.0,Highway,Debit Card,0.15384615384615385,0.13558580456976177,0.3288809735826655,2.67,0.8212345679012346,2022,2,Friday,False,11,8,0,2,2,Standard,New,At-Risk
C0230,2022-09-26,Unknown,Premium Wash,0.4066721321339391,0.15238095238095237,4.0,Highway,Mobile Pay,0.38461538461538464,0.2146491654513045,0.25758385277530427,2.83,0.24592592592592594,2022,9,Monday,False,14,12,1,2,4,Standard,Regular,Active
C0050,2021-05-22,Unknown,Basic Wash,0.3662677878395861,0.0761904761904762,4.0,Airport,Debit Card,0.3076923076923077,0.24566520823205312,0.3558919560700505,3.6,0.8661728395061729,2021,5,Saturday,True,14,7,2,0,2,Standard,Regular,At-Risk
C0646,2021-08-12,Van,Deluxe Wash,0.4740929330003911,0.3142857142857143,3.0,Highway,Mobile Pay,0.38461538461538464,0.2171041970507211,0.2605520926090828,4.5,0.6711111111111111,2021,8,Thursday,False,15,8,4,2,4,Standard,Regular,At-Risk
C0997,2022-02-18,Suv,Premium Wash,0.4150658864586781,0.14285714285714288,1.0,Airport,Cash,0.3076923076923077,0.17318911035488574,0.24968833481745328,2.8,0.4088888888888889,2022,2,Friday,False,8,12,0,0,0,Standard,Regular,Warming
C0741,2022-03-03,Unknown,Full Service,0.749943590360721,0.7428571428571429,4.0,Downtown,Credit Card,0.23076923076923078,0.3609301571868416,0.6577025823686553,3.75,0.494320987654321,2022,3,Thursday,False,14,9,4,1,1,Premium,New,Warming
C0321,2022-02-18,Unknown,Unknown,0.449588585697524,0.38510138544820627,4.0,Unknown,Unknown,0.4615384615384616,0.4858693890779452,0.5037102997922231,3.43,0.6118518518518519,2022,2,Friday,False,14,13,0,5,5,Standard,Regular,Warming
C0410,2023-07-11,Hatchback,Full Service,0.7211220253316888,0.7238095238095238,5.0,Airport,Cash,0.4615384615384616,0.6991654513044887,0.7269219352923716,3.86,0.5703703703703704,2023,7,Tuesday,False,0,9,5,0,0,Premium,Regular,Warming
C0695,2022-02-18,Hatchback,Deluxe Wash,0.5177464725172238,0.3238095238095239,4.0,Airport,Mobile Pay,0.0,0.056676389564090095,0.42208370436331255,4.0,0.8212345679012346,2022,2,Friday,False,0,8,0,0,4,Standard,,At-Risk
