slno,vehicle_type,brand,model,engine_type,make_year,region,mileage_range,mileage,oil_filter,engine_oil,washer_plug_drain,dust_and_pollen_filter,whell_alignment_and_balancing,air_clean_filter,fuel_filter,spark_plug,brake_fluid,brake_and_clutch_oil,transmission_fluid,brake_pads,clutch,coolant,cost,vehicle_type_encoded
1,Car,honda,jazz,petrol,2017,chennai,10000,11400,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2566,0
2,Car,honda,jazz,petrol,2017,chennai,10000,11453,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2633,0
3,Car,honda,jazz,petrol,2017,chennai,10000,10706,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2643,0
4,Car,honda,jazz,petrol,2017,chennai,10000,11015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2532,0
5,Car,honda,jazz,petrol,2017,chennai,10000,10039,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2489,0
6,Car,honda,jazz,petrol,2017,chennai,10000,10348,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2578,0
7,Car,honda,jazz,petrol,2017,chennai,10000,10936,1,1,0,0,1,0,0,0,0,0,0,0,0,0,2631,0
8,Car,honda,jazz,petrol,2017,chennai,10000,10355,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2639,0
9,Car,honda,jazz,petrol,2017,chennai,10000,11028,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2703,0
10,Car,honda,jazz,petrol,2017,chennai,10000,10843,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2539,0
11,Car,honda,jazz,petrol,2017,chennai,10000,10686,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2597,0
12,Car,honda,jazz,petrol,2017,chennai,10000,10573,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2583,0
13,Car,honda,jazz,petrol,2017,chennai,10000,10992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2633,0
14,Car,honda,jazz,petrol,2017,chennai,10000,10376,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2643,0
15,Car,honda,jazz,petrol,2017,chennai,10000,11009,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2532,0
16,Car,honda,jazz,petrol,2017,chennai,10000,10048,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2489,0
17,Car,honda,jazz,petrol,2017,chennai,10000,10623,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2578,0
18,Car,honda,jazz,petrol,2017,chennai,10000,10832,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2631,0
19,Car,honda,jazz,petrol,2017,chennai,10000,11034,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2639,0
20,Car,honda,jazz,petrol,2017,chennai,10000,10228,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2703,0
21,Car,honda,jazz,petrol,2017,chennai,20000,20679,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3336,0
22,Car,honda,jazz,petrol,2017,chennai,20000,20797,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418,0
23,Car,honda,jazz,petrol,2017,chennai,20000,19646,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276,0
24,Car,honda,jazz,petrol,2017,chennai,20000,20566,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134,0
25,Car,honda,jazz,petrol,2017,chennai,20000,20478,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3489,0
26,Car,honda,jazz,petrol,2017,chennai,20000,20787,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3578,0
27,Car,honda,jazz,petrol,2017,chennai,20000,19899,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248,0
28,Car,honda,jazz,petrol,2017,chennai,20000,20575,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3682,0
29,Car,honda,jazz,petrol,2017,chennai,20000,21587,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3418,0
30,Car,honda,jazz,petrol,2017,chennai,20000,20689,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3276,0
31,Car,honda,jazz,petrol,2017,chennai,20000,20464,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3134,0
32,Car,honda,jazz,petrol,2017,chennai,20000,21567,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3583,0
33,Car,honda,jazz,petrol,2017,chennai,20000,22769,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3365,0
34,Car,honda,jazz,petrol,2017,chennai,20000,20312,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3478,0
35,Car,honda,jazz,petrol,2017,chennai,20000,20453,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3336,0
36,Car,honda,jazz,petrol,2017,chennai,20000,20564,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3418,0
37,Car,honda,jazz,petrol,2017,chennai,20000,20644,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3276,0
38,Car,honda,jazz,petrol,2017,chennai,20000,20768,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3134,0
39,Car,honda,jazz,petrol,2017,chennai,20000,20543,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3215,0
40,Car,honda,jazz,petrol,2017,chennai,20000,21056,1,1,1,1,0,1,0,0,0,0,0,0,0,0,8714,0
41,Car,honda,jazz,petrol,2017,chennai,30000,30239,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3143,0
42,Car,honda,jazz,petrol,2017,chennai,30000,30231,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3273,0
43,Car,honda,jazz,petrol,2017,chennai,30000,30783,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3489,0
44,Car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3323,0
45,Car,honda,jazz,petrol,2017,chennai,30000,30463,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3422,0
46,Car,honda,jazz,petrol,2017,chennai,30000,29625,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3232,0
47,Car,honda,jazz,petrol,2017,chennai,30000,31833,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3136,0
48,Car,honda,jazz,petrol,2017,chennai,30000,30172,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3193,0
49,Car,honda,jazz,petrol,2017,chennai,30000,30132,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3344,0
50,Car,honda,jazz,petrol,2017,chennai,30000,29234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3474,0
51,Car,honda,jazz,petrol,2017,chennai,30000,30541,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3750,0
52,Car,honda,jazz,petrol,2017,chennai,30000,29689,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3523,0
53,Car,honda,jazz,petrol,2017,chennai,30000,30545,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3263,0
54,Car,honda,jazz,petrol,2017,chennai,30000,30432,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3283,0
55,Car,honda,jazz,petrol,2017,chennai,30000,30679,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3384,0
56,Car,honda,jazz,petrol,2017,chennai,30000,30765,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3680,0
57,Car,honda,jazz,petrol,2017,chennai,30000,30758,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4342,0
58,Car,honda,jazz,petrol,2017,chennai,30000,31234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5342,0
59,Car,honda,jazz,petrol,2017,chennai,30000,30272,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4434,0
60,Car,honda,jazz,petrol,2017,chennai,30000,30137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4343,0
61,Car,honda,jazz,petrol,2017,chennai,40000,40231,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4422,0
62,Car,honda,jazz,petrol,2017,chennai,40000,40532,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4372,0
63,Car,honda,jazz,petrol,2017,chennai,40000,39163,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4457,0
64,Car,honda,jazz,petrol,2017,chennai,40000,40328,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4322,0
65,Car,honda,jazz,petrol,2017,chennai,40000,40368,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4273,0
66,Car,honda,jazz,petrol,2017,chennai,40000,39175,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4282,0
67,Car,honda,jazz,petrol,2017,chennai,40000,40613,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4274,0
68,Car,honda,jazz,petrol,2017,chennai,40000,40293,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4272,0
69,Car,honda,jazz,petrol,2017,chennai,40000,40733,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4548,0
70,Car,honda,jazz,petrol,2017,chennai,40000,41382,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4482,0
71,Car,honda,jazz,petrol,2017,chennai,40000,40289,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4372,0
72,Car,honda,jazz,petrol,2017,chennai,40000,39236,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4273,0
73,Car,honda,jazz,petrol,2017,chennai,40000,40722,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4373,0
74,Car,honda,jazz,petrol,2017,chennai,40000,42232,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4874,0
75,Car,honda,jazz,petrol,2017,chennai,40000,40724,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4836,0
76,Car,honda,jazz,petrol,2017,chennai,40000,40283,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4723,0
77,Car,honda,jazz,petrol,2017,chennai,40000,39328,1,1,1,1,0,0,0,1,0,0,0,0,0,1,4792,0
78,Car,honda,jazz,petrol,2017,chennai,40000,41238,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5292,0
79,Car,honda,jazz,petrol,2017,chennai,40000,40278,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5123,0
80,Car,honda,jazz,petrol,2017,chennai,40000,40243,1,1,1,1,0,0,0,1,0,0,0,0,0,1,5163,0
81,Car,honda,jazz,petrol,2017,chennai,50000,50234,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3312,0
82,Car,honda,jazz,petrol,2017,chennai,50000,50722,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3464,0
83,Car,honda,jazz,petrol,2017,chennai,50000,50236,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3253,0
84,Car,honda,jazz,petrol,2017,chennai,50000,50673,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3323,0
85,Car,honda,jazz,petrol,2017,chennai,50000,50892,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3422,0
86,Car,honda,jazz,petrol,2017,chennai,50000,51427,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3232,0
87,Car,honda,jazz,petrol,2017,chennai,50000,50237,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3136,0
88,Car,honda,jazz,petrol,2017,chennai,50000,49622,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3193,0
89,Car,honda,jazz,petrol,2017,chennai,50000,49263,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3344,0
90,Car,honda,jazz,petrol,2017,chennai,50000,50268,1,1,1,0,0,0,0,0,0,0,0,1,0,1,3474,0
91,Car,honda,jazz,petrol,2017,chennai,50000,51452,1,1,1,0,0,0,0,0,1,0,0,1,0,1,3364,0
92,Car,honda,jazz,petrol,2017,chennai,50000,50823,1,1,1,0,0,0,0,0,1,0,1,1,0,1,3231,0
93,Car,honda,jazz,petrol,2017,chennai,50000,50179,1,1,1,0,0,0,0,0,1,0,1,1,0,1,3532,0
94,Car,honda,jazz,petrol,2017,chennai,50000,51102,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3689,0
95,Car,honda,jazz,petrol,2017,chennai,50000,51324,1,1,1,0,0,1,0,0,0,0,0,1,0,0,3730,0
96,Car,honda,jazz,petrol,2017,chennai,50000,50822,1,1,1,0,0,1,0,0,0,0,1,1,0,0,3647,0
97,Car,honda,jazz,petrol,2017,chennai,50000,50264,1,1,1,0,1,1,0,0,1,0,0,1,0,0,4123,0
98,Car,honda,jazz,petrol,2017,chennai,50000,50012,1,1,1,0,1,0,0,0,1,0,0,1,0,0,4202,0
99,Car,honda,jazz,petrol,2017,chennai,50000,50272,1,1,1,0,0,0,0,1,0,0,1,1,0,0,4822,0
100,Car,honda,jazz,petrol,2017,chennai,50000,50327,1,1,1,0,1,0,0,1,0,0,0,1,0,0,4037,0
101,Car,honda,jazz,petrol,2017,chennai,60000,60272,1,1,1,1,0,1,0,0,1,0,1,1,0,0,6135,0
102,Car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,0,0,1,0,1,1,0,0,6234,0
103,Car,honda,jazz,petrol,2017,chennai,60000,60322,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6163,0
104,Car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6237,0
105,Car,honda,jazz,petrol,2017,chennai,60000,60839,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6088,0
106,Car,honda,jazz,petrol,2017,chennai,60000,60321,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6143,0
107,Car,honda,jazz,petrol,2017,chennai,60000,61733,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6228,0
108,Car,honda,jazz,petrol,2017,chennai,60000,60977,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6292,0
109,Car,honda,jazz,petrol,2017,chennai,60000,60632,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6183,0
110,Car,honda,jazz,petrol,2017,chennai,60000,60872,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6137,0
111,Car,honda,jazz,petrol,2017,chennai,60000,60134,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6099,0
112,Car,honda,jazz,petrol,2017,chennai,60000,60427,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6132,0
113,Car,honda,jazz,petrol,2017,chennai,60000,60349,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6487,0
114,Car,honda,jazz,petrol,2017,chennai,60000,60374,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6579,0
115,Car,honda,jazz,petrol,2017,chennai,60000,60694,1,1,1,1,0,1,1,0,1,0,1,0,0,0,6693,0
116,Car,honda,jazz,petrol,2017,chennai,60000,61379,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6469,0
117,Car,honda,jazz,petrol,2017,chennai,60000,59262,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6367,0
118,Car,honda,jazz,petrol,2017,chennai,60000,60347,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6397,0
119,Car,honda,jazz,petrol,2017,chennai,60000,61372,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6495,0
120,Car,honda,jazz,petrol,2017,chennai,60000,60437,1,1,1,1,0,1,0,0,1,0,1,0,0,0,6402,0
121,Car,honda,jazz,petrol,2017,chennai,70000,70262,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4633,0
122,Car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643,0
123,Car,honda,jazz,petrol,2017,chennai,70000,70764,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4532,0
124,Car,honda,jazz,petrol,2017,chennai,70000,70384,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4489,0
125,Car,honda,jazz,petrol,2017,chennai,70000,70976,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4578,0
126,Car,honda,jazz,petrol,2017,chennai,70000,71253,1,1,1,0,1,0,0,0,0,0,1,0,1,0,4631,0
127,Car,honda,jazz,petrol,2017,chennai,70000,70311,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4639,0
128,Car,honda,jazz,petrol,2017,chennai,70000,70789,1,1,1,0,1,0,0,0,0,0,0,0,1,0,4703,0
129,Car,honda,jazz,petrol,2017,chennai,70000,70098,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4539,0
130,Car,honda,jazz,petrol,2017,chennai,70000,69432,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4597,0
131,Car,honda,jazz,petrol,2017,chennai,70000,70894,1,1,1,0,1,0,0,1,0,0,0,0,1,0,4583,0
132,Car,honda,jazz,petrol,2017,chennai,70000,70753,1,1,1,0,0,0,0,1,0,0,0,0,1,0,4633,0
133,Car,honda,jazz,petrol,2017,chennai,70000,70756,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4643,0
134,Car,honda,jazz,petrol,2017,chennai,70000,70890,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4532,0
135,Car,honda,jazz,petrol,2017,chennai,70000,70473,1,1,1,0,0,0,0,0,1,0,0,0,1,0,4489,0
136,Car,honda,jazz,petrol,2017,chennai,70000,70985,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4578,0
137,Car,honda,jazz,petrol,2017,chennai,70000,70342,1,1,1,0,0,1,0,0,1,0,0,0,1,0,4631,0
138,Car,honda,jazz,petrol,2017,chennai,70000,70033,1,1,1,0,0,1,0,0,0,0,0,0,1,0,4639,0
139,Car,honda,jazz,petrol,2017,chennai,70000,70653,1,1,1,0,0,0,0,0,0,0,0,0,1,0,4703,0
140,Car,honda,jazz,petrol,2017,chennai,70000,70373,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2789,0
141,Car,honda,jazz,petrol,2017,chennai,80000,82238,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4753,0
142,Car,honda,jazz,petrol,2017,chennai,80000,89843,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4790,0
143,Car,honda,jazz,petrol,2017,chennai,80000,85834,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4230,0
144,Car,honda,jazz,petrol,2017,chennai,80000,88433,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4875,0
145,Car,honda,jazz,petrol,2017,chennai,80000,82363,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4976,0
146,Car,honda,jazz,petrol,2017,chennai,80000,83462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4679,0
147,Car,honda,jazz,petrol,2017,chennai,80000,82346,1,1,1,0,0,0,1,1,0,0,0,0,0,0,4312,0
148,Car,honda,jazz,petrol,2017,chennai,80000,89437,1,1,1,1,0,0,1,1,0,0,0,0,0,0,4068,0
149,Car,honda,jazz,petrol,2017,chennai,80000,90327,1,1,1,1,0,0,1,1,0,0,0,0,0,0,5084,0
150,Car,honda,jazz,petrol,2017,chennai,80000,82462,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5866,0
151,Car,honda,jazz,petrol,2017,chennai,80000,81482,1,1,1,0,0,0,1,1,0,0,0,0,0,0,5238,0
152,Car,honda,jazz,petrol,2017,chennai,100000,122342,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3725,0
153,Car,honda,jazz,petrol,2017,chennai,100000,102378,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3248,0
154,Car,honda,jazz,petrol,2017,chennai,100000,113247,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3743,0
155,Car,honda,jazz,petrol,2017,chennai,100000,137822,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3469,0
156,Car,honda,jazz,petrol,2017,chennai,100000,129773,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3468,0
157,Car,honda,jazz,petrol,2017,chennai,100000,90239,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3894,0
158,Car,honda,jazz,petrol,2017,chennai,100000,94824,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3725,0
159,Car,honda,jazz,petrol,2017,chennai,100000,96348,1,1,1,1,0,1,1,0,0,0,0,0,0,0,3743,0
160,Car,honda,jazz,petrol,2017,chennai,100000,94378,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3804,0
161,Car,honda,jazz,petrol,2017,chennai,100000,99947,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3479,0
162,Car,honda,amaze,diesel,2016,mumbai,10000,10021,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2798,0
163,Car,honda,amaze,diesel,2016,mumbai,10000,10005,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2680,0
164,Car,honda,amaze,diesel,2016,mumbai,10000,9980,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750,0
165,Car,honda,amaze,diesel,2016,mumbai,10000,10100,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700,0
166,Car,honda,amaze,diesel,2016,mumbai,10000,11004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800,0
167,Car,honda,amaze,diesel,2016,mumbai,10000,10078,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2500,0
168,Car,honda,amaze,diesel,2016,mumbai,10000,12001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2750,0
169,Car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2700,0
170,Car,honda,amaze,diesel,2016,mumbai,10000,9800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2702,0
171,Car,honda,amaze,diesel,2016,mumbai,10000,10302,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2720,0
172,Car,honda,amaze,diesel,2016,mumbai,10000,10288,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2800,0
173,Car,honda,amaze,diesel,2016,mumbai,10000,10003,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2770,0
174,Car,honda,amaze,diesel,2016,mumbai,10000,10200,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3300,0
175,Car,honda,amaze,diesel,2016,mumbai,10000,10123,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3450,0
176,Car,honda,amaze,diesel,2016,mumbai,10000,9992,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3250,0
177,Car,honda,amaze,diesel,2016,mumbai,10000,10675,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3500,0
178,Car,honda,amaze,diesel,2016,mumbai,10000,13987,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6500,0
179,Car,honda,amaze,diesel,2016,mumbai,10000,14567,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500,0
180,Car,honda,amaze,diesel,2016,mumbai,10000,11002,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7000,0
181,Car,honda,amaze,diesel,2016,mumbai,10000,12347,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5500,0
182,Car,honda,amaze,diesel,2016,mumbai,20000,20003,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5300,0
183,Car,honda,amaze,diesel,2016,mumbai,20000,17890,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5500,0
184,Car,honda,amaze,diesel,2016,mumbai,20000,23000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5200,0
185,Car,honda,amaze,diesel,2016,mumbai,20000,21000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5350,0
186,Car,honda,amaze,diesel,2016,mumbai,20000,18907,1,1,1,0,1,1,1,0,0,0,0,0,0,0,5400,0
