customer_id,service_date,vehicle_type,service_type,service_cost,service_duration,customer_rating,payment_method,location,record_source
C0440,2024-02-25,luxury,Interior Detailing,498.851294654011,66.0,6.0,credit card,Suburban,Web
C0603,06-09-2021,truck,deluxe wash,65.41,49.0,3.0,debit card,Highway,in-person
C0230,2022-09-26,,PREMIUM WASH,35.33,31.0,,Mobile Pay,highway,WEB
C0050,2021-05-22,,basic wash,21.9,23.0,,Debit Card,AIRPORT,MOBILE
C0646,2021-08-12,Van,deluxe wash,57.74,48.0,3.0,MOBILE PAY,Highway,In-Person
C0997,04/19/2021,  suv  ,  PREMIUM WASH  ,38.12,30.0,1.0,CASH,AIRPORT,WEB
C0741,2022-03-03,,full service,149.43,93.0,,Credit Card,Downtown,In-Person
C0321,,,,,,,,,
C0410,2023-07-11,HATCHBACK,full service,139.85,91.0,5.0,CASH,Airport,in-person
C0695,10/18/2021,Hatchback,deluxe wash,72.25,49.0,4.0,Mobile Pay,AIRPORT,In-Person
C0890,2021-11-28,,Premium Wash,49.67,33.0,,Mobile Pay,Highway,in-person
C0847,2021-05-04,suv,deluxe wash,64.39,60.0,3.0,Debit Card,Downtown,WEB
C0413,2022-06-11,Van,FULL SERVICE,142.83,105.0,10.0,Mobile Pay,Downtown,Web
C0811,2021-02-28,Luxury,Premium Wash,unknown,N/A,3.0,Membership,AIRPORT,In-Person
C0117,13-08-2021,Hatchback,Interior Detailing,105.35,71.0,4.0,Credit Card,AIRPORT,in-person
C0626,2021-07-22,Truck,FULL SERVICE,139.07,103.0,1.0,membership,MALL,in-person
C0604,2022-10-03,luxury,basic wash,20.53,23.0,5.0,Membership,mall,MOBILE
C0674,18-06-2021,HATCHBACK,Basic Wash,21.09,21.0,5.0,MOBILE PAY,mall,WEB
C0719,2021-09-22,Truck,Premium Wash,unknown,N/A,5.0,Credit Card,Suburban,In-Person
C0597,11/13/2021,HATCHBACK,deluxe wash,unknown,N/A,3.0,Debit Card,highway,In-Person
C0555,2021-07-20,Van,Interior Detailing,109.58,77.0,4.0,Debit Card,Downtown,in-person
C0808,2023-10-03,Sedan,basic wash,17.03,22.0,5.0,membership,Suburban,WEB
C0202,01-02-2023,suv,PREMIUM WASH,36.12,33.0,4.0,mobile pay,highway,In-Person
C0478,14-11-2022,,PREMIUM WASH,48.93,39.0,,MOBILE PAY,Suburban,WEB
